DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
gfx90a [0x989f];3;7;16;7;30000;0;24;7;1;7;1;0;-2;1;1;0;1;1;2;2;1;0
gfx90a [0x989f];3;7;16;16;30000;0;24;7;1;7;1;0;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;7;23;7;30000;0;25;7;1;3;1;-2;1;1;1;1;1;1;0;0;0;0
gfx90a [0x989f];3;7;23;23;30000;0;24;7;1;1;1;1;-2;1;0;1;1;1;2;0;1;0
gfx90a [0x989f];3;8;3;3;30000;0;15;8;1;4;1;1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;8;3;8;30000;0;15;8;1;1;1;-2;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;8;4;4;30000;0;9;8;1;1;1;-2;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;8;4;8;30000;0;7;8;1;1;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;8;5;5;30000;0;12;8;1;2;1;-1;4;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;8;5;8;30000;0;15;8;1;1;1;1;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;8;6;6;30000;0;12;8;1;8;1;-2;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;8;6;8;30000;0;15;8;1;1;1;-2;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;8;7;7;30000;0;13;8;1;5;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;8;7;8;30000;0;20;8;1;4;1;-2;0;0;0;0;1;1;0;2;1;0
gfx90a [0x989f];3;8;8;3;30000;0;15;8;1;1;1;1;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;8;8;4;30000;0;15;8;1;7;1;0;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;8;8;5;30000;0;15;8;1;8;1;0;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;8;8;6;30000;0;15;8;1;4;1;0;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;8;8;7;30000;0;15;8;1;4;1;1;-1;1;1;1;1;1;0;0;1;0
gfx90a [0x989f];3;8;8;8;30000;0;10;8;1;3;1;-1;0;0;1;1;1;1;0;2;1;0
gfx90a [0x989f];3;8;8;16;30000;0;12;8;1;1;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;8;8;23;30000;0;12;8;1;1;1;1;-2;1;1;0;1;1;2;1;0;0
gfx90a [0x989f];3;8;16;8;30000;0;24;8;1;2;1;-1;1;1;1;1;1;1;0;2;1;0
gfx90a [0x989f];3;8;16;16;30000;0;20;8;1;1;1;1;-2;1;1;0;1;1;0;2;1;0
gfx90a [0x989f];3;8;23;8;30000;0;26;8;1;8;1;1;-1;1;1;1;1;1;2;2;1;0
gfx90a [0x989f];3;8;23;23;30000;0;24;8;1;8;1;0;-2;0;0;0;1;0;0;1;0;0
gfx90a [0x989f];3;9;3;3;30000;0;9;9;1;9;1;-1;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;9;3;9;30000;0;10;9;1;1;1;-2;0;0;1;1;1;1;2;2;0;0
gfx90a [0x989f];3;9;4;4;30000;0;12;9;1;1;1;1;0;0;0;1;1;0;2;2;0;0
gfx90a [0x989f];3;9;4;9;30000;0;15;9;1;6;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;9;5;5;30000;0;13;9;1;9;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;9;5;9;30000;0;10;9;1;1;1;-2;0;1;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;9;6;6;30000;0;15;9;1;4;1;-1;1;0;1;1;1;1;0;0;1;0
gfx90a [0x989f];3;9;6;9;30000;0;10;9;1;1;1;0;-2;1;1;1;1;1;0;2;0;0
gfx90a [0x989f];3;9;7;7;30000;0;13;9;1;1;1;1;-2;0;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;9;7;9;30000;0;13;9;1;1;1;-2;0;1;1;1;1;1;2;0;1;0
gfx90a [0x989f];3;9;9;3;30000;0;15;9;1;4;1;1;-1;0;1;0;1;1;0;0;0;0
gfx90a [0x989f];3;9;9;4;30000;0;15;9;1;4;1;-1;-1;0;1;0;1;1;2;2;0;0
gfx90a [0x989f];3;9;9;5;30000;0;15;9;1;2;1;0;1;0;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;9;9;6;30000;0;24;9;1;2;1;1;-2;0;0;1;1;1;0;0;1;0
gfx90a [0x989f];3;9;9;7;30000;0;9;9;1;9;1;-1;0;1;1;1;1;1;0;0;1;0
gfx90a [0x989f];3;9;9;9;30000;0;10;9;1;3;1;0;-1;0;1;1;1;1;0;2;1;0
gfx90a [0x989f];3;9;9;16;30000;0;12;9;1;1;1;1;-2;0;0;1;1;1;2;2;0;0
gfx90a [0x989f];3;9;9;23;30000;0;15;9;1;1;1;-1;-1;0;1;1;1;1;2;2;0;0
gfx90a [0x989f];3;9;16;9;30000;0;24;9;1;8;1;0;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;9;16;16;30000;0;12;9;1;1;1;1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;9;23;9;30000;0;26;9;1;8;1;0;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;9;23;23;30000;0;3;8;1;8;1;1;3;0;1;0;1;0;1;2;1;0
gfx90a [0x989f];3;10;3;3;30000;0;10;10;1;8;1;0;-2;0;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;10;3;10;30000;0;12;10;1;1;1;-1;-2;0;0;1;1;1;2;0;0;0
gfx90a [0x989f];3;10;4;4;30000;0;13;10;1;3;1;-2;-1;1;1;0;1;1;0;2;0;0
gfx90a [0x989f];3;10;4;10;30000;0;12;10;1;1;1;0;0;0;1;1;1;1;2;2;0;0
gfx90a [0x989f];3;10;5;5;30000;0;15;10;1;3;1;-1;-2;0;1;1;1;1;0;0;1;0
gfx90a [0x989f];3;10;5;10;30000;0;10;10;1;1;1;-2;0;1;0;1;1;1;2;2;0;0
gfx90a [0x989f];3;10;6;6;30000;0;9;10;1;1;1;-1;-1;1;1;1;1;1;2;0;1;0
gfx90a [0x989f];3;10;6;10;30000;0;12;10;1;1;1;0;0;1;1;0;1;1;0;0;0;0
