DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;5;32;17;30000;0;13;5;1;3;0;1;-1;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;5;32;32;30000;0;15;5;1;5;0;1;-1;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;6;6;6;30000;0;7;6;1;6;0;0;-2;0;0;0;1;0;1;3;0
NVIDIA H100 PCIe [0xa32d];3;6;6;7;30000;0;11;6;1;4;0;1;-2;0;0;0;1;0;1;3;0
NVIDIA H100 PCIe [0xa32d];3;6;6;8;30000;0;18;6;1;2;0;-1;1;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;6;7;6;30000;0;14;6;1;6;0;-2;0;0;0;0;1;0;1;0;0
NVIDIA H100 PCIe [0xa32d];3;6;7;7;30000;0;17;6;1;2;0;1;1;1;0;1;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;6;7;8;30000;0;6;6;1;6;0;-1;-1;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;6;8;6;30000;0;14;6;1;2;0;0;0;0;0;0;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;6;8;7;30000;0;14;6;1;3;0;0;-2;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;6;8;8;30000;0;5;6;1;2;0;0;-2;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;7;4;4;30000;0;12;7;1;5;0;0;0;0;0;0;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;5;30000;0;11;7;1;5;0;-2;-1;0;0;1;1;1;3;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;7;30000;0;11;7;1;4;0;-2;-2;0;0;0;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;9;30000;0;14;7;1;1;0;1;0;0;0;1;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;13;30000;0;1;7;1;4;0;-1;0;1;0;1;0;0;0;3;0
NVIDIA H100 PCIe [0xa32d];3;7;5;4;30000;0;15;7;1;3;0;1;2;1;0;1;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;5;30000;0;12;7;1;2;0;1;-2;0;0;0;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;7;5;7;30000;0;14;7;1;2;0;-2;-2;0;0;0;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;9;30000;0;14;7;1;4;0;1;-1;0;0;1;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;13;30000;0;12;7;1;1;0;1;-2;0;0;1;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;7;6;6;30000;0;11;7;1;6;0;0;2;0;0;1;1;1;0;0;1
NVIDIA H100 PCIe [0xa32d];3;7;6;7;30000;0;11;7;1;2;0;1;-1;1;0;0;1;1;0;3;0
